Número de documentos del corpus:3303
Número de palabras del corpus:48151
Palabra:all-powerful  Frec:2  LogProb:-10.25199422680701
Palabra:alley  Frec:3  LogProb:-9.846529118698847
Palabra:allow  Frec:4  LogProb:-9.558847046247065
Palabra:allowed  Frec:5  LogProb:-9.335703494932854
Palabra:allston  Frec:2  LogProb:-10.25199422680701
Palabra:allz  Frec:3  LogProb:-9.846529118698847
Palabra:almosr  Frec:2  LogProb:-10.25199422680701
Palabra:almost  Frec:3  LogProb:-9.846529118698847
Palabra:alone  Frec:3  LogProb:-9.846529118698847
Palabra:alone(  Frec:2  LogProb:-10.25199422680701
Palabra:along  Frec:2  LogProb:-10.25199422680701
Palabra:along-  Frec:2  LogProb:-10.25199422680701
Palabra:Alors  Frec:2  LogProb:-10.25199422680701
Palabra:ALOT  Frec:6  LogProb:-9.153381938138901
Palabra:Alpha  Frec:2  LogProb:-10.25199422680701
Palabra:Already  Frec:19  LogProb:-8.000702428200515
Palabra:alright  Frec:9  LogProb:-8.747916830030736
Palabra:alseep  Frec:3  LogProb:-9.846529118698847
Palabra:Also  Frec:28  LogProb:-7.6129368971917515
Palabra:alt  Frec:2  LogProb:-10.25199422680701
Palabra:alter  Frec:2  LogProb:-10.25199422680701
Palabra:altho  Frec:2  LogProb:-10.25199422680701
Palabra:although  Frec:3  LogProb:-9.846529118698847
Palabra:alto  Frec:3  LogProb:-9.846529118698847
Palabra:Alton-Darby  Frec:2  LogProb:-10.25199422680701
Palabra:Always  Frec:37  LogProb:-7.334223494722731
Palabra:alwaysthink  Frec:2  LogProb:-10.25199422680701
Palabra:alwayz  Frec:2  LogProb:-10.25199422680701
Palabra:AM  Frec:67  LogProb:-6.740448787975989
Palabra:AMASING  Frec:3  LogProb:-9.846529118698847
Palabra:amazed  Frec:3  LogProb:-9.846529118698847
Palabra:Amazing  Frec:10  LogProb:-8.642556314372909
Palabra:amazingly  Frec:3  LogProb:-9.846529118698847
Palabra:amber  Frec:2  LogProb:-10.25199422680701
Palabra:Amen  Frec:2  LogProb:-10.25199422680701
Palabra:American  Frec:3  LogProb:-9.846529118698847
Palabra:ami  Frec:3  LogProb:-9.846529118698847
Palabra:among  Frec:2  LogProb:-10.25199422680701
Palabra:Amor  Frec:2  LogProb:-10.25199422680701
Palabra:amount  Frec:2  LogProb:-10.25199422680701
Palabra:amounts  Frec:2  LogProb:-10.25199422680701
Palabra:amuse  Frec:2  LogProb:-10.25199422680701
Palabra:amuses  Frec:3  LogProb:-9.846529118698847
Palabra:AN  Frec:77  LogProb:-6.601335985513272
Palabra:anal  Frec:2  LogProb:-10.25199422680701
Palabra:anally  Frec:2  LogProb:-10.25199422680701
Palabra:analyzing  Frec:2  LogProb:-10.25199422680701
Palabra:And  Frec:25  LogProb:-7.726265582498755
Palabra:andre  Frec:3  LogProb:-9.846529118698847
Palabra:andrew  Frec:3  LogProb:-9.846529118698847
Palabra:ange  Frec:2  LogProb:-10.25199422680701
Palabra:Angel  Frec:2  LogProb:-10.25199422680701
Palabra:Angelina  Frec:2  LogProb:-10.25199422680701
Palabra:Angels  Frec:2  LogProb:-10.25199422680701
Palabra:ANGIE  Frec:2  LogProb:-10.25199422680701
Palabra:Angry  Frec:6  LogProb:-9.153381938138901
Palabra:animal  Frec:7  LogProb:-8.999231258311642
Palabra:animals  Frec:2  LogProb:-10.25199422680701
Palabra:animated  Frec:2  LogProb:-10.25199422680701
