Número de documentos del corpus:6052
Número de palabras del corpus:62887
Palabra:ahaa  Frec:2  LogProb:-10.48310202697824
Palabra:ahaah  Frec:2  LogProb:-10.48310202697824
Palabra:Ahah  Frec:8  LogProb:-9.09680766585835
Palabra:ahah(  Frec:2  LogProb:-10.48310202697824
Palabra:ahaha  Frec:2  LogProb:-10.48310202697824
Palabra:ahahaahahahaha  Frec:2  LogProb:-10.48310202697824
Palabra:ahahah  Frec:2  LogProb:-10.48310202697824
Palabra:ahahaha  Frec:4  LogProb:-9.789954846418295
Palabra:ahahahaha  Frec:2  LogProb:-10.48310202697824
Palabra:ahead  Frec:8  LogProb:-9.09680766585835
Palabra:Ahh  Frec:2  LogProb:-10.48310202697824
Palabra:AHHA  Frec:3  LogProb:-10.077636918870075
Palabra:ahhaha  Frec:2  LogProb:-10.48310202697824
Palabra:Ahhh  Frec:6  LogProb:-9.38448973831013
Palabra:ahhhh  Frec:2  LogProb:-10.48310202697824
Palabra:ahve  Frec:3  LogProb:-10.077636918870075
Palabra:Aid  Frec:2  LogProb:-10.48310202697824
Palabra:Aidan(  Frec:2  LogProb:-10.48310202697824
Palabra:Aids  Frec:4  LogProb:-9.789954846418295
Palabra:aiint  Frec:2  LogProb:-10.48310202697824
Palabra:aim  Frec:2  LogProb:-10.48310202697824
Palabra:ain't  Frec:2  LogProb:-10.48310202697824
Palabra:aint  Frec:4  LogProb:-9.789954846418295
Palabra:air  Frec:4  LogProb:-9.789954846418295
Palabra:airplane  Frec:2  LogProb:-10.48310202697824
Palabra:AJ  Frec:2  LogProb:-10.48310202697824
Palabra:ajung  Frec:2  LogProb:-10.48310202697824
Palabra:akc  Frec:2  LogProb:-10.48310202697824
Palabra:akekeke  Frec:2  LogProb:-10.48310202697824
Palabra:aku  Frec:2  LogProb:-10.48310202697824
Palabra:Alabama  Frec:2  LogProb:-10.48310202697824
Palabra:Alanis  Frec:2  LogProb:-10.48310202697824
Palabra:alarm  Frec:2  LogProb:-10.48310202697824
Palabra:alaska  Frec:2  LogProb:-10.48310202697824
Palabra:albertsons  Frec:2  LogProb:-10.48310202697824
Palabra:album  Frec:4  LogProb:-9.789954846418295
Palabra:alcohol  Frec:2  LogProb:-10.48310202697824
Palabra:alcoholic  Frec:3  LogProb:-10.077636918870075
Palabra:Ale  Frec:2  LogProb:-10.48310202697824
Palabra:Alejandro  Frec:2  LogProb:-10.48310202697824
Palabra:Alesha  Frec:2  LogProb:-10.48310202697824
Palabra:alexander''  Frec:2  LogProb:-10.48310202697824
Palabra:Alexis  Frec:2  LogProb:-10.48310202697824
Palabra:Alexis<3  Frec:2  LogProb:-10.48310202697824
Palabra:AlexisNicoleHodnett  Frec:2  LogProb:-10.48310202697824
Palabra:Alexiss  Frec:2  LogProb:-10.48310202697824
Palabra:alexiss<333  Frec:2  LogProb:-10.48310202697824
Palabra:Alexisssss  Frec:2  LogProb:-10.48310202697824
Palabra:Alexisssssssss  Frec:2  LogProb:-10.48310202697824
Palabra:alexissssssssssss  Frec:2  LogProb:-10.48310202697824
Palabra:alice  Frec:2  LogProb:-10.48310202697824
Palabra:alien  Frec:4  LogProb:-9.789954846418295
Palabra:aliens  Frec:4  LogProb:-9.789954846418295
Palabra:alil  Frec:2  LogProb:-10.48310202697824
Palabra:alive  Frec:9  LogProb:-8.979024630201966
Palabra:alix  Frec:4  LogProb:-9.789954846418295
Palabra:ALIX'S  Frec:2  LogProb:-10.48310202697824
Palabra:All  Frec:10  LogProb:-8.87366411454414
Palabra:allergic  Frec:2  LogProb:-10.48310202697824
Palabra:allie  Frec:2  LogProb:-10.48310202697824
Palabra:alll  Frec:2  LogProb:-10.48310202697824
Palabra:allll  Frec:2  LogProb:-10.48310202697824
Palabra:Alllrighhhtyy  Frec:2  LogProb:-10.48310202697824
Palabra:allow  Frec:4  LogProb:-9.789954846418295
Palabra:allowed  Frec:2  LogProb:-10.48310202697824
Palabra:Allstate  Frec:2  LogProb:-10.48310202697824
Palabra:Alltime  Frec:2  LogProb:-10.48310202697824
Palabra:Almighty  Frec:2  LogProb:-10.48310202697824
Palabra:almost  Frec:8  LogProb:-9.09680766585835
Palabra:alone  Frec:2  LogProb:-10.48310202697824
Palabra:along  Frec:3  LogProb:-10.077636918870075
Palabra:Alot  Frec:34  LogProb:-7.649888682922024
Palabra:alott  Frec:2  LogProb:-10.48310202697824
Palabra:ALOTTTTT  Frec:2  LogProb:-10.48310202697824
Palabra:Alphabet  Frec:2  LogProb:-10.48310202697824
Palabra:already  Frec:21  LogProb:-8.131726769814762
Palabra:alright  Frec:5  LogProb:-9.566811295104085
Palabra:Alrightt  Frec:2  LogProb:-10.48310202697824
Palabra:alrighty  Frec:2  LogProb:-10.48310202697824
Palabra:Also  Frec:8  LogProb:-9.09680766585835
Palabra:aluminum  Frec:2  LogProb:-10.48310202697824
Palabra:Always  Frec:58  LogProb:-7.115806196991766
Palabra:alxeander  Frec:2  LogProb:-10.48310202697824
Palabra:AM  Frec:84  LogProb:-6.745432408694872
Palabra:amazes  Frec:2  LogProb:-10.48310202697824
Palabra:Amazin  Frec:2  LogProb:-10.48310202697824
Palabra:amazing  Frec:10  LogProb:-8.87366411454414
Palabra:amazingg  Frec:2  LogProb:-10.48310202697824
Palabra:amendment  Frec:2  LogProb:-10.48310202697824
Palabra:america  Frec:3  LogProb:-10.077636918870075
Palabra:American  Frec:3  LogProb:-10.077636918870075
Palabra:americas  Frec:2  LogProb:-10.48310202697824
Palabra:ammmmm  Frec:2  LogProb:-10.48310202697824
Palabra:ammmmmbbaaaaaa  Frec:2  LogProb:-10.48310202697824
Palabra:amnesia  Frec:2  LogProb:-10.48310202697824
Palabra:amount  Frec:2  LogProb:-10.48310202697824
Palabra:amp  Frec:2  LogProb:-10.48310202697824
Palabra:amputated  Frec:2  LogProb:-10.48310202697824
Palabra:amusement  Frec:3  LogProb:-10.077636918870075
Palabra:Amy  Frec:2  LogProb:-10.48310202697824
Palabra:amyspace  Frec:2  LogProb:-10.48310202697824
Palabra:amywhere  Frec:2  LogProb:-10.48310202697824
Palabra:An  Frec:88  LogProb:-6.698912393059978
Palabra:anagram  Frec:2  LogProb:-10.48310202697824
Palabra:anagrams  Frec:2  LogProb:-10.48310202697824
Palabra:And  Frec:4  LogProb:-9.789954846418295
Palabra:and/or  Frec:2  LogProb:-10.48310202697824
Palabra:andd  Frec:2  LogProb:-10.48310202697824
Palabra:andy  Frec:3  LogProb:-10.077636918870075
Palabra:AndYuhrLike  Frec:2  LogProb:-10.48310202697824
Palabra:Angel  Frec:4  LogProb:-9.789954846418295
Palabra:Angeles  Frec:2  LogProb:-10.48310202697824
Palabra:angels  Frec:2  LogProb:-10.48310202697824
Palabra:anger  Frec:6  LogProb:-9.38448973831013
Palabra:Angry  Frec:4  LogProb:-9.789954846418295
Palabra:angus  Frec:2  LogProb:-10.48310202697824
Palabra:animal  Frec:7  LogProb:-9.230339058482873
Palabra:animals  Frec:7  LogProb:-9.230339058482873
Palabra:aniston/vince  Frec:2  LogProb:-10.48310202697824
Palabra:anit  Frec:2  LogProb:-10.48310202697824
Palabra:anniston  Frec:2  LogProb:-10.48310202697824
Palabra:anniversary  Frec:2  LogProb:-10.48310202697824
Palabra:annnddd  Frec:2  LogProb:-10.48310202697824
Palabra:annoy  Frec:4  LogProb:-9.789954846418295
Palabra:annoyed  Frec:2  LogProb:-10.48310202697824
Palabra:annoyes  Frec:2  LogProb:-10.48310202697824
Palabra:annoying  Frec:12  LogProb:-8.691342557750184
Palabra:annoys  Frec:4  LogProb:-9.789954846418295
Palabra:anominous  Frec:2  LogProb:-10.48310202697824
Palabra:anonymous  Frec:7  LogProb:-9.230339058482873
Palabra:anonymously  Frec:2  LogProb:-10.48310202697824
Palabra:anonymousness  Frec:2  LogProb:-10.48310202697824
Palabra:anorexic  Frec:2  LogProb:-10.48310202697824
Palabra:another  Frec:24  LogProb:-7.99819537719024
Palabra:anouther  Frec:2  LogProb:-10.48310202697824
Palabra:answer  Frec:26  LogProb:-7.9181526695167035
Palabra:answered  Frec:5  LogProb:-9.566811295104085
Palabra:answering  Frec:4  LogProb:-9.789954846418295
Palabra:Answers  Frec:7  LogProb:-9.230339058482873
Palabra:anthem  Frec:2  LogProb:-10.48310202697824
Palabra:Anthony  Frec:2  LogProb:-10.48310202697824
Palabra:Any  Frec:3  LogProb:-10.077636918870075
Palabra:any1  Frec:2  LogProb:-10.48310202697824
Palabra:anybodi  Frec:2  LogProb:-10.48310202697824
Palabra:Anybody  Frec:2  LogProb:-10.48310202697824
Palabra:anygirl  Frec:2  LogProb:-10.48310202697824
Palabra:anymo  Frec:2  LogProb:-10.48310202697824
Palabra:anymore  Frec:18  LogProb:-8.28587744964202
Palabra:ANYONE  Frec:2  LogProb:-10.48310202697824
Palabra:anythang  Frec:2  LogProb:-10.48310202697824
Palabra:anythanqq  Frec:2  LogProb:-10.48310202697824
Palabra:anythInclude  Frec:2  LogProb:-10.48310202697824
Palabra:ANYTHING  Frec:46  LogProb:-7.34760781104909
