Número de documentos del corpus:122425
Número de palabras del corpus:18437
Palabra:*looks  Frec:1  LogProb:-11.855543065815047
Palabra:*lover  Frec:2  LogProb:-11.162395885255101
Palabra:*must  Frec:1  LogProb:-11.855543065815047
Palabra:*MY*  Frec:2  LogProb:-11.162395885255101
Palabra:*Nikki  Frec:2  LogProb:-11.162395885255101
Palabra:*not*  Frec:2  LogProb:-11.162395885255101
Palabra:*pats  Frec:2  LogProb:-11.162395885255101
Palabra:*phoebe  Frec:2  LogProb:-11.162395885255101
Palabra:*POOF*  Frec:2  LogProb:-11.162395885255101
Palabra:*raises  Frec:2  LogProb:-11.162395885255101
Palabra:*RAWR*  Frec:2  LogProb:-11.162395885255101
Palabra:*really*  Frec:1  LogProb:-11.855543065815047
Palabra:*rolls  Frec:2  LogProb:-11.162395885255101
Palabra:*runs  Frec:2  LogProb:-11.162395885255101
Palabra:*sad  Frec:1  LogProb:-11.855543065815047
Palabra:*scrolling*  Frec:2  LogProb:-11.162395885255101
Palabra:*shakes  Frec:2  LogProb:-11.162395885255101
Palabra:*shrug*  Frec:3  LogProb:-10.756930777146938
Palabra:*shuns*  Frec:2  LogProb:-11.162395885255101
Palabra:*sigh*  Frec:6  LogProb:-10.063783596586992
Palabra:*slinks  Frec:2  LogProb:-11.162395885255101
Palabra:*smiling*  Frec:2  LogProb:-11.162395885255101
Palabra:*snicker*  Frec:2  LogProb:-11.162395885255101
Palabra:*snort*  Frec:1  LogProb:-11.855543065815047
Palabra:*sobs*  Frec:1  LogProb:-11.855543065815047
Palabra:*SUCKS*  Frec:2  LogProb:-11.162395885255101
Palabra:*sure*  Frec:2  LogProb:-11.162395885255101
Palabra:*swoon*  Frec:1  LogProb:-11.855543065815047
Palabra:*take  Frec:2  LogProb:-11.162395885255101
Palabra:*tearsz*  Frec:2  LogProb:-11.162395885255101
Palabra:*that  Frec:2  LogProb:-11.162395885255101
Palabra:*thinkin*  Frec:2  LogProb:-11.162395885255101
Palabra:*thought*  Frec:1  LogProb:-11.855543065815047
Palabra:*throws  Frec:1  LogProb:-11.855543065815047
Palabra:*tooos*  Frec:1  LogProb:-11.855543065815047
Palabra:*touches  Frec:2  LogProb:-11.162395885255101
Palabra:*twitch*  Frec:1  LogProb:-11.855543065815047
Palabra:*Wannabe*  Frec:2  LogProb:-11.162395885255101
Palabra:*was*  Frec:2  LogProb:-11.162395885255101
Palabra:*watches  Frec:1  LogProb:-11.855543065815047
Palabra:*wear*  Frec:2  LogProb:-11.162395885255101
