Número de documentos del corpus:9688
Número de palabras del corpus:122432
Palabra:60db  Frec:2  LogProb:-11.116677745911673
Palabra:60s  Frec:2  LogProb:-11.116677745911673
Palabra:60th  Frec:2  LogProb:-11.116677745911673
Palabra:61st  Frec:3  LogProb:-10.711212637803508
Palabra:67k  Frec:2  LogProb:-11.116677745911673
Palabra:6pm  Frec:2  LogProb:-11.116677745911673
Palabra:6th  Frec:3  LogProb:-10.711212637803508
Palabra:7'  Frec:2  LogProb:-11.116677745911673
Palabra:70%  Frec:2  LogProb:-11.116677745911673
Palabra:70's  Frec:6  LogProb:-10.018065457243564
Palabra:700Mbs  Frec:2  LogProb:-11.116677745911673
Palabra:70s  Frec:2  LogProb:-11.116677745911673
Palabra:73%  Frec:2  LogProb:-11.116677745911673
Palabra:76ers  Frec:2  LogProb:-11.116677745911673
Palabra:78deg  Frec:2  LogProb:-11.116677745911673
Palabra:7a-11p  Frec:2  LogProb:-11.116677745911673
Palabra:7days  Frec:2  LogProb:-11.116677745911673
Palabra:7pm  Frec:2  LogProb:-11.116677745911673
Palabra:7th  Frec:7  LogProb:-9.863914777416305
Palabra:8-cup  Frec:2  LogProb:-11.116677745911673
Palabra:8/13/09  Frec:2  LogProb:-11.116677745911673
Palabra:80's  Frec:2  LogProb:-11.116677745911673
Palabra:808's  Frec:2  LogProb:-11.116677745911673
Palabra:80s  Frec:3  LogProb:-10.711212637803508
Palabra:850th  Frec:2  LogProb:-11.116677745911673
Palabra:8or9  Frec:2  LogProb:-11.116677745911673
Palabra:8pm  Frec:2  LogProb:-11.116677745911673
Palabra:8r  Frec:2  LogProb:-11.116677745911673
Palabra:8says  Frec:2  LogProb:-11.116677745911673
Palabra:8th  Frec:2  LogProb:-11.116677745911673
Palabra:9-foot-tall  Frec:2  LogProb:-11.116677745911673
Palabra:90%  Frec:3  LogProb:-10.711212637803508
Palabra:90's  Frec:4  LogProb:-10.423530565351728
Palabra:90s  Frec:2  LogProb:-11.116677745911673
Palabra:9am  Frec:2  LogProb:-11.116677745911673
Palabra:9r  Frec:2  LogProb:-11.116677745911673
Palabra::  Frec:1584  LogProb:-4.442116354097247
Palabra:;  Frec:288  LogProb:-6.146864446335672
Palabra:<  Frec:8  LogProb:-9.730383384791782
Palabra:<-  Frec:2  LogProb:-11.116677745911673
Palabra:<--  Frec:2  LogProb:-11.116677745911673
Palabra:<-------------  Frec:2  LogProb:-11.116677745911673
Palabra:</3  Frec:3  LogProb:-10.711212637803508
Palabra:<3  Frec:87  LogProb:-7.343916807817035
Palabra:<3(  Frec:2  LogProb:-11.116677745911673
Palabra:<33  Frec:15  LogProb:-9.101774725369408
Palabra:<333  Frec:3  LogProb:-10.711212637803508
Palabra:<3333  Frec:4  LogProb:-10.423530565351728
Palabra:<33333  Frec:3  LogProb:-10.711212637803508
Palabra:<3r  Frec:3  LogProb:-10.711212637803508
Palabra:<3yayaay  Frec:2  LogProb:-11.116677745911673
Palabra:<br>  Frec:3  LogProb:-10.711212637803508
Palabra:<UNK>  Frec:1  LogProb:-11.809824926471618
Palabra:=  Frec:3  LogProb:-10.711212637803508
Palabra:=(  Frec:10  LogProb:-9.507239833477573
Palabra:=(((((((  Frec:2  LogProb:-11.116677745911673
Palabra:=)  Frec:22  LogProb:-8.718782473113302
Palabra:=))  Frec:2  LogProb:-11.116677745911673
Palabra:=/  Frec:7  LogProb:-9.863914777416305
Palabra:==  Frec:3  LogProb:-10.711212637803508
Palabra:=>  Frec:2  LogProb:-11.116677745911673
Palabra:=]  Frec:25  LogProb:-8.590949101603417
Palabra:=]]]  Frec:2  LogProb:-11.116677745911673
Palabra:=]i  Frec:2  LogProb:-11.116677745911673
Palabra:=D  Frec:11  LogProb:-9.411929653673248
Palabra:=oP  Frec:2  LogProb:-11.116677745911673
Palabra:=P  Frec:4  LogProb:-10.423530565351728
Palabra:=X  Frec:2  LogProb:-11.116677745911673
Palabra:=}  Frec:2  LogProb:-11.116677745911673
Palabra:>  Frec:12  LogProb:-9.324918276683619
Palabra:>_<  Frec:2  LogProb:-11.116677745911673
Palabra:?  Frec:3880  LogProb:-3.546234493854299
Palabra:@  Frec:4  LogProb:-10.423530565351728
Palabra:@$  Frec:3  LogProb:-10.711212637803508
Palabra:@$m  Frec:3  LogProb:-10.711212637803508
Palabra:@+  Frec:8  LogProb:-9.730383384791782
Palabra:@+3r  Frec:2  LogProb:-11.116677745911673
Palabra:@K  Frec:2  LogProb:-11.116677745911673
Palabra:[  Frec:15  LogProb:-9.101774725369408
Palabra:[[  Frec:3  LogProb:-10.711212637803508
Palabra:[[no  Frec:2  LogProb:-11.116677745911673
Palabra:[mentally  Frec:2  LogProb:-11.116677745911673
Palabra:[quiet  Frec:2  LogProb:-11.116677745911673
Palabra:[s  Frec:2  LogProb:-11.116677745911673
Palabra:[x  Frec:2  LogProb:-11.116677745911673
Palabra:]  Frec:246  LogProb:-6.304493390539255
Palabra:]<333  Frec:2  LogProb:-11.116677745911673
Palabra:]]  Frec:3  LogProb:-10.711212637803508
Palabra:]]]  Frec:2  LogProb:-11.116677745911673
