Número de documentos del corpus:6741
Número de palabras del corpus:96154
Palabra:Any  Frec:53  LogProb:-7.622276179070304
Palabra:anybody  Frec:4  LogProb:-10.206273731502534
Palabra:anymore  Frec:4  LogProb:-10.206273731502534
Palabra:anyone  Frec:4  LogProb:-10.206273731502534
Palabra:anyone's  Frec:7  LogProb:-9.646657943567112
Palabra:ANYTHING  Frec:41  LogProb:-7.878996025918117
Palabra:anytime  Frec:7  LogProb:-9.646657943567112
Palabra:anyway  Frec:23  LogProb:-8.457073876693276
Palabra:anyways  Frec:11  LogProb:-9.194672819824055
Palabra:anywhere  Frec:6  LogProb:-9.80080862339437
Palabra:ap  Frec:3  LogProb:-10.493955803954316
Palabra:Apache  Frec:4  LogProb:-10.206273731502534
Palabra:apart  Frec:2  LogProb:-10.89942091206248
Palabra:apartment  Frec:3  LogProb:-10.493955803954316
Palabra:API  Frec:4  LogProb:-10.206273731502534
Palabra:apologize  Frec:4  LogProb:-10.206273731502534
Palabra:apologizing  Frec:4  LogProb:-10.206273731502534
Palabra:app  Frec:6  LogProb:-9.80080862339437
Palabra:apparel  Frec:4  LogProb:-10.206273731502534
Palabra:apparently  Frec:8  LogProb:-9.513126550942589
Palabra:appear  Frec:3  LogProb:-10.493955803954316
Palabra:appearance  Frec:7  LogProb:-9.646657943567112
Palabra:apple  Frec:4  LogProb:-10.206273731502534
Palabra:applied  Frec:4  LogProb:-10.206273731502534
Palabra:apply  Frec:4  LogProb:-10.206273731502534
Palabra:appointment  Frec:4  LogProb:-10.206273731502534
Palabra:appropriate  Frec:4  LogProb:-10.206273731502534
Palabra:apps  Frec:7  LogProb:-9.646657943567112
Palabra:April  Frec:3  LogProb:-10.493955803954316
Palabra:apt  Frec:3  LogProb:-10.493955803954316
Palabra:AQUARIUM  Frec:3  LogProb:-10.493955803954316
Palabra:arabs  Frec:3  LogProb:-10.493955803954316
Palabra:archive  Frec:3  LogProb:-10.493955803954316
Palabra:Are  Frec:16  LogProb:-8.819979370382644
Palabra:area  Frec:7  LogProb:-9.646657943567112
Palabra:aree  Frec:2  LogProb:-10.89942091206248
Palabra:aren't  Frec:11  LogProb:-9.194672819824055
Palabra:arent  Frec:2  LogProb:-10.89942091206248
Palabra:Argh  Frec:9  LogProb:-9.395343515286205
Palabra:argue  Frec:4  LogProb:-10.206273731502534
Palabra:arguing  Frec:3  LogProb:-10.493955803954316
Palabra:Arial  Frec:3  LogProb:-10.493955803954316
